Product ID,N_Extracción,Datos
44,Extracción 0,"['2023/05/11 04:10:27', '1899.00']"
44,Extracción 1,"['2023/05/11 04:10:27', '1899.00']"
44,Extracción 2,"['2023/05/11 22:22:27', '1899.00']"
44,Extracción 3,"['2023/05/12 08:10:27', '1899.00']"
44,Extracción 4,"['2023/05/13 00:58:27', '1899.00']"
44,Extracción 5,"['2023/05/13 10:46:27', '1899.00']"
44,Extracción 6,"['2023/05/13 19:10:27', '1899.00']"
44,Extracción 7,"['2023/05/14 13:22:27', '1899.00']"
44,Extracción 8,"['2023/05/14 23:10:27', '1899.00']"
44,Extracción 9,"['2023/05/15 07:34:27', '1899.00']"
44,Extracción 10,"['2023/05/16 01:25:33', '1899.00']"
44,Extracción 11,"['2023/05/16 10:50:44', '1882.00']"
44,Extracción 12,"['2023/05/16 19:54:20', '1599.70']"
44,Extracción 13,"['2023/05/17 14:06:20', '1599.70']"
44,Extracción 14,"['2023/05/17 22:30:20', '1599.70']"
44,Extracción 15,"['2023/05/18 08:18:20', '1599.70']"
44,Extracción 16,"['2023/05/19 01:33:06', '1899.00']"
44,Extracción 17,"['2023/05/19 09:57:06', '1899.00']"
44,Extracción 18,"['2023/05/19 19:45:06', '1899.00']"
44,Extracción 19,"['2023/05/20 13:57:06', '1899.00']"
44,Extracción 20,"['2023/05/20 13:57:06', '1899.00']"
44,Extracción 21,"['2023/05/21 08:09:06', '1899.00']"
44,Extracción 22,"['2023/05/21 16:33:06', '1899.00']"
44,Extracción 23,"['2023/05/22 00:57:06', '1899.00']"
44,Extracción 24,"['2023/05/22 19:09:06', '1899.00']"
44,Extracción 25,"['2023/05/23 04:57:06', '1899.00']"
44,Extracción 26,"['2023/05/23 13:21:06', '1899.00']"
44,Extracción 27,"['2023/05/24 07:33:06', '1899.00']"
44,Extracción 28,"['2023/05/24 15:57:06', '1899.00']"
44,Extracción 29,"[0, 0]"
44,Extracción 30,"[0, 0]"
44,Extracción 31,"[0, 0]"
44,Extracción 32,"[0, 0]"
44,Extracción 33,"[0, 0]"
44,Extracción 34,"[0, 0]"
44,Extracción 35,"[0, 0]"
44,Extracción 36,"[0, 0]"
44,Extracción 37,"[0, 0]"
44,Extracción 38,"['2023/05/29 13:36:27', '1569.42']"
44,Extracción 39,"['2023/05/30 07:48:27', '1569.42']"
44,Extracción 40,"['2023/05/30 07:48:27', '1569.42']"
44,Extracción 41,"['2023/05/31 01:04:57', '1899.00']"
44,Extracción 42,"['2023/05/31 10:52:57', '1899.00']"
44,Extracción 43,"['2023/05/31 19:16:57', '1899.00']"
44,Extracción 44,"['2023/06/01 13:28:57', '1899.00']"
44,Extracción 45,"['2023/06/01 23:16:57', '1899.00']"
44,Extracción 46,"['2023/06/02 07:40:57', '1899.00']"
44,Extracción 47,"['2023/06/03 01:51:31', '1649.00']"
44,Extracción 48,"['2023/06/03 10:15:31', '1649.00']"
44,Extracción 49,"['2023/06/03 20:03:31', '1649.00']"
44,Extracción 50,"['2023/06/04 14:15:31', '1649.00']"
44,Extracción 51,"['2023/06/04 22:39:31', '1649.00']"
44,Extracción 52,"['2023/06/05 07:03:31', '1649.00']"
44,Extracción 53,"['2023/06/06 01:15:31', '1649.00']"
44,Extracción 54,"[0, 0]"
44,Extracción 55,"[0, 0]"
44,Extracción 56,"[0, 0]"
44,Extracción 57,"[0, 0]"
44,Extracción 58,"[0, 0]"
44,Extracción 59,"[0, 0]"
44,Extracción 60,"[0, 0]"
44,Extracción 61,"[0, 0]"
44,Extracción 62,"[0, 0]"
44,Extracción 63,"[0, 0]"
44,Extracción 64,"[0, 0]"
44,Extracción 65,"[0, 0]"
44,Extracción 66,"[0, 0]"
44,Extracción 67,"[0, 0]"
44,Extracción 68,"[0, 0]"
44,Extracción 69,"[0, 0]"
44,Extracción 70,"[0, 0]"
44,Extracción 71,"[0, 0]"
44,Extracción 72,"[0, 0]"
44,Extracción 73,"[0, 0]"
44,Extracción 74,"[0, 0]"
44,Extracción 75,"[0, 0]"
44,Extracción 76,"[0, 0]"
44,Extracción 77,"[0, 0]"
44,Extracción 78,"[0, 0]"
44,Extracción 79,"[0, 0]"
44,Extracción 80,"[0, 0]"
44,Extracción 81,"[0, 0]"
44,Extracción 82,"[0, 0]"
44,Extracción 83,"[0, 0]"
44,Extracción 84,"[0, 0]"
44,Extracción 85,"[0, 0]"
44,Extracción 86,"[0, 0]"
44,Extracción 87,"[0, 0]"
44,Extracción 88,"[0, 0]"
44,Extracción 89,"['2023/06/23 07:39:31', '1649.00']"
44,Extracción 90,"['2023/06/24 01:51:31', '1649.00']"
44,Extracción 91,"['2023/06/24 10:15:31', '1649.00']"
44,Extracción 92,"['2023/06/24 20:03:31', '1649.00']"
44,Extracción 93,"['2023/06/25 14:15:31', '1649.00']"
44,Extracción 94,"['2023/06/25 22:39:31', '1649.00']"
44,Extracción 95,"['2023/06/26 08:27:31', '1649.00']"
44,Extracción 96,"['2023/06/27 01:15:31', '1649.00']"
44,Extracción 97,"['2023/06/27 11:03:31', '1649.00']"
44,Extracción 98,"['2023/06/27 19:27:31', '1649.00']"
44,Extracción 99,"['2023/06/28 13:39:31', '1649.00']"
44,Extracción 100,"['2023/06/28 13:39:31', '1649.00']"
44,Extracción 101,"['2023/06/29 07:51:31', '1649.00']"
44,Extracción 102,"['2023/06/29 16:15:31', '1649.00']"
44,Extracción 103,"['2023/06/30 02:03:31', '1649.00']"
44,Extracción 104,"['2023/06/30 20:15:31', '1649.00']"
44,Extracción 105,"['2023/07/01 04:43:14', '1699.00']"
44,Extracción 106,"['2023/07/01 14:31:14', '1699.00']"
44,Extracción 107,"['2023/07/02 07:19:14', '1699.00']"
44,Extracción 108,"['2023/07/02 17:07:14', '1699.00']"
44,Extracción 109,"['2023/07/03 01:31:14', '1699.00']"
44,Extracción 110,"['2023/07/03 19:43:14', '1699.00']"
44,Extracción 111,"['2023/07/04 05:31:14', '1699.00']"
44,Extracción 112,"['2023/07/04 13:55:14', '1699.00']"
44,Extracción 113,"['2023/07/05 08:07:14', '1699.00']"
44,Extracción 114,"['2023/07/05 16:31:14', '1699.00']"
44,Extracción 115,"['2023/07/06 02:19:14', '1699.00']"
44,Extracción 116,"['2023/07/06 20:31:14', '1699.00']"
44,Extracción 117,"[0, 0]"
44,Extracción 118,"[0, 0]"
44,Extracción 119,"[0, 0]"
44,Extracción 120,"[0, 0]"
44,Extracción 121,"[0, 0]"
44,Extracción 122,"[0, 0]"
44,Extracción 123,"[0, 0]"
44,Extracción 124,"[0, 0]"
44,Extracción 125,"[0, 0]"
44,Extracción 126,"[0, 0]"
44,Extracción 127,"[0, 0]"
44,Extracción 128,"[0, 0]"
44,Extracción 129,"[0, 0]"
44,Extracción 130,"[0, 0]"
44,Extracción 131,"[0, 0]"
44,Extracción 132,"['2023/07/14 08:34:41', '1533.52']"
44,Extracción 133,"['2023/07/15 02:19:27', '1533.00']"
44,Extracción 134,"['2023/07/15 10:43:27', '1533.00']"
44,Extracción 135,"['2023/07/15 20:31:27', '1533.00']"
44,Extracción 136,"['2023/07/16 13:19:27', '1533.00']"
44,Extracción 137,"['2023/07/16 23:07:27', '1533.00']"
44,Extracción 138,"['2023/07/17 07:31:27', '1533.00']"
44,Extracción 139,"['2023/07/18 01:43:27', '1533.00']"
44,Extracción 140,"['2023/07/18 01:43:27', '1533.00']"
44,Extracción 141,"[0, 0]"
44,Extracción 142,"[0, 0]"
44,Extracción 143,"[0, 0]"
44,Extracción 144,"[0, 0]"
44,Extracción 145,"[0, 0]"
44,Extracción 146,"[0, 0]"
44,Extracción 147,"['2023/07/21 19:19:27', '1']"
44,Extracción 148,"['2023/07/22 05:07:27', '1533.00']"
44,Extracción 149,"['2023/07/22 13:31:27', '1533.00']"
44,Extracción 150,"['2023/07/23 07:43:27', '1533.00']"
44,Extracción 151,"['2023/07/23 17:31:27', '1533.00']"
44,Extracción 152,"['2023/07/24 01:55:27', '1533.00']"
44,Extracción 153,"['2023/07/24 20:07:27', '1533.00']"
44,Extracción 154,"['2023/07/25 04:31:27', '1533.00']"
44,Extracción 155,"[0, 0]"
44,Extracción 156,"[0, 0]"
44,Extracción 157,"[0, 0]"
44,Extracción 158,"['2023/07/27 01:32:42', '1422.00']"
44,Extracción 159,"[0, 0]"
44,Extracción 160,"[0, 0]"
44,Extracción 161,"['2023/07/28 13:56:42', '1']"
44,Extracción 162,"[0, 0]"
44,Extracción 163,"[0, 0]"
44,Extracción 164,"['2023/07/30 02:20:42', '1422.00']"
44,Extracción 165,"['2023/07/30 10:44:42', '1422.00']"
44,Extracción 166,"[0, 0]"
44,Extracción 167,"[0, 0]"
44,Extracción 168,"[0, 0]"
44,Extracción 169,"[0, 0]"
44,Extracción 170,"[0, 0]"
44,Extracción 171,"[0, 0]"
44,Extracción 172,"[0, 0]"
44,Extracción 173,"[0, 0]"
44,Extracción 174,"[0, 0]"
44,Extracción 175,"[0, 0]"
44,Extracción 176,"[0, 0]"
44,Extracción 177,"[0, 0]"
44,Extracción 178,"[0, 0]"
44,Extracción 179,"['2023/08/06 14:11:44', '1']"
44,Extracción 180,"[0, 0]"
44,Extracción 181,"[0, 0]"
44,Extracción 182,"[0, 0]"
44,Extracción 183,"[0, 0]"
44,Extracción 184,"['2023/08/08 20:38:32', '1']"
44,Extracción 185,"[0, 0]"
44,Extracción 186,"[0, 0]"
44,Extracción 187,"['2023/08/10 07:38:32', '1']"
44,Extracción 188,"[0, 0]"
44,Extracción 189,"[0, 0]"
44,Extracción 190,"[0, 0]"
44,Extracción 191,"[0, 0]"
44,Extracción 192,"['2023/08/12 14:14:32', '1']"
44,Extracción 193,"['2023/08/13 08:26:32', '1']"
44,Extracción 194,"[0, 0]"
44,Extracción 195,"[0, 0]"
44,Extracción 196,"[0, 0]"
44,Extracción 197,"[0, 0]"
44,Extracción 198,"[0, 0]"
44,Extracción 199,"[0, 0]"
44,Extracción 200,"[0, 0]"
44,Extracción 201,"[0, 0]"
44,Extracción 202,"[0, 0]"
44,Extracción 203,"[0, 0]"
44,Extracción 204,"[0, 0]"
44,Extracción 205,"[0, 0]"
44,Extracción 206,"[0, 0]"
44,Extracción 207,"[0, 0]"
44,Extracción 208,"[0, 0]"
44,Extracción 209,"[0, 0]"
44,Extracción 210,"[0, 0]"
44,Extracción 211,"[0, 0]"
44,Extracción 212,"[0, 0]"
44,Extracción 213,"[0, 0]"
44,Extracción 214,"[0, 0]"
44,Extracción 215,"[0, 0]"
44,Extracción 216,"[0, 0]"
44,Extracción 217,"[0, 0]"
44,Extracción 218,"[0, 0]"
44,Extracción 219,"[0, 0]"
44,Extracción 220,"[0, 0]"
44,Extracción 221,"[0, 0]"
44,Extracción 222,"['2023/08/27 05:37:28', '1407.00']"
44,Extracción 223,"[0, 0]"
44,Extracción 224,"['2023/08/28 07:59:01', '1']"
44,Extracción 225,"[0, 0]"
44,Extracción 226,"[0, 0]"
44,Extracción 227,"[0, 0]"
44,Extracción 228,"[0, 0]"
44,Extracción 229,"[0, 0]"
44,Extracción 230,"['2023/08/31 08:21:44', '1699.00']"
44,Extracción 231,"['2023/08/31 16:45:44', '1699.00']"
44,Extracción 232,"['2023/09/01 02:33:44', '1699.00']"
44,Extracción 233,"[0, 0]"
44,Extracción 234,"[0, 0]"
44,Extracción 235,"[0, 0]"
44,Extracción 236,"[0, 0]"
44,Extracción 237,"[0, 0]"
44,Extracción 238,"[0, 0]"
44,Extracción 239,"[0, 0]"
44,Extracción 240,"[0, 0]"
44,Extracción 241,"[0, 0]"
44,Extracción 242,"[0, 0]"
44,Extracción 243,"[0, 0]"
44,Extracción 244,"[0, 0]"
44,Extracción 245,"[0, 0]"
44,Extracción 246,"[0, 0]"
44,Extracción 247,"['2023/09/08 14:05:52', '1149.00']"
44,Extracción 248,"[0, 0]"
44,Extracción 249,"[0, 0]"
44,Extracción 250,"[0, 0]"
44,Extracción 251,"[0, 0]"
44,Extracción 252,"[0, 0]"
44,Extracción 253,"['2023/09/11 14:53:52', '1149.00']"
44,Extracción 254,"[0, 0]"
44,Extracción 255,"[0, 0]"
44,Extracción 256,"[0, 0]"
44,Extracción 257,"[0, 0]"
44,Extracción 258,"[0, 0]"
44,Extracción 259,"[0, 0]"
44,Extracción 260,"[0, 0]"
44,Extracción 261,"[0, 0]"
44,Extracción 262,"['2023/09/15 16:53:52', '4']"
44,Extracción 263,"[0, 0]"
44,Extracción 264,"[0, 0]"
44,Extracción 265,"[0, 0]"
44,Extracción 266,"[0, 0]"
44,Extracción 267,"[0, 0]"
44,Extracción 268,"[0, 0]"
44,Extracción 269,"[0, 0]"
44,Extracción 270,"[0, 0]"
44,Extracción 271,"[0, 0]"
44,Extracción 272,"[0, 0]"
44,Extracción 273,"[0, 0]"
44,Extracción 274,"[0, 0]"
44,Extracción 275,"[0, 0]"
44,Extracción 276,"[0, 0]"
44,Extracción 277,"[0, 0]"
44,Extracción 278,"[0, 0]"
44,Extracción 279,"['2023/09/24 08:05:52', '1149.00']"
44,Extracción 280,"['2023/09/24 17:53:52', '1149.00']"
44,Extracción 281,"['2023/09/24 17:53:52', '1149.00']"
44,Extracción 282,"[0, 0]"
44,Extracción 283,"[0, 0]"
44,Extracción 284,"['2023/09/26 14:41:52', '1149.00']"
44,Extracción 285,"[0, 0]"
44,Extracción 286,"[0, 0]"
44,Extracción 287,"[0, 0]"
44,Extracción 288,"[0, 0]"
44,Extracción 289,"[0, 0]"
44,Extracción 290,"[0, 0]"
44,Extracción 291,"[0, 0]"
44,Extracción 292,"[0, 0]"
44,Extracción 293,"[0, 0]"
44,Extracción 294,"[0, 0]"
44,Extracción 295,"['2023/10/01 20:41:52', '1149.00']"
44,Extracción 296,"['2023/10/02 14:53:52', '1149.00']"
44,Extracción 297,"[0, 0]"
44,Extracción 298,"[0, 0]"
44,Extracción 299,"[0, 0]"
44,Extracción 300,"[0, 0]"
44,Extracción 301,"[0, 0]"
44,Extracción 302,"[0, 0]"
44,Extracción 303,"[0, 0]"
44,Extracción 304,"['2023/10/06 08:38:31', '1208.00']"
44,Extracción 305,"[0, 0]"
44,Extracción 306,"[0, 0]"
44,Extracción 307,"[0, 0]"
44,Extracción 308,"[0, 0]"
44,Extracción 309,"[0, 0]"
44,Extracción 310,"[0, 0]"
44,Extracción 311,"[0, 0]"
44,Extracción 312,"['2023/10/10 02:02:01', '948.76']"
44,Extracción 313,"[0, 0]"
44,Extracción 314,"[0, 0]"
44,Extracción 315,"['2023/10/11 13:58:41', '1199.00']"
44,Extracción 316,"[0, 0]"
44,Extracción 317,"[0, 0]"
44,Extracción 318,"[0, 0]"
44,Extracción 319,"[0, 0]"
44,Extracción 320,"[0, 0]"
44,Extracción 321,"[0, 0]"
44,Extracción 322,"['2023/10/14 23:11:10', '999.00']"
44,Extracción 323,"[0, 0]"
44,Extracción 324,"[0, 0]"
44,Extracción 325,"[0, 0]"
44,Extracción 326,"[0, 0]"
44,Extracción 327,"[0, 0]"
44,Extracción 328,"[0, 0]"
44,Extracción 329,"[0, 0]"
44,Extracción 330,"[0, 0]"
44,Extracción 331,"[0, 0]"
44,Extracción 332,"[0, 0]"
44,Extracción 333,"[0, 0]"
44,Extracción 334,"[0, 0]"
44,Extracción 335,"['2023/10/21 07:47:10', '999.00']"
44,Extracción 336,"[0, 0]"
44,Extracción 337,"[0, 0]"
44,Extracción 338,"[0, 0]"
44,Extracción 339,"['2023/10/23 14:23:10', '999.00']"
44,Extracción 340,"[0, 0]"
44,Extracción 341,"[0, 0]"
44,Extracción 342,"['2023/10/24 17:30:18', '1199.00']"
44,Extracción 343,"[0, 0]"
44,Extracción 344,"[0, 0]"
44,Extracción 345,"[0, 0]"
44,Extracción 346,"[0, 0]"
44,Extracción 347,"[0, 0]"
44,Extracción 348,"[0, 0]"
44,Extracción 349,"[0, 0]"
44,Extracción 350,"[0, 0]"
44,Extracción 351,"[0, 0]"
44,Extracción 352,"[0, 0]"
44,Extracción 353,"[0, 0]"
44,Extracción 354,"[0, 0]"
44,Extracción 355,"[0, 0]"
44,Extracción 356,"[0, 0]"
44,Extracción 357,"[0, 0]"
44,Extracción 358,"[0, 0]"
44,Extracción 359,"[0, 0]"
44,Extracción 360,"[0, 0]"
44,Extracción 361,"[0, 0]"
44,Extracción 362,"[0, 0]"
44,Extracción 363,"[0, 0]"
44,Extracción 364,"[0, 0]"
44,Extracción 365,"[0, 0]"
44,Extracción 366,"[0, 0]"
44,Extracción 367,"[0, 0]"
44,Extracción 368,"[0, 0]"
44,Extracción 369,"[0, 0]"
44,Extracción 370,"[0, 0]"
44,Extracción 371,"[0, 0]"
44,Extracción 372,"[0, 0]"
44,Extracción 373,"[0, 0]"
44,Extracción 374,"[0, 0]"
